DATE,WK,BARCODE,DEFECT,LOCATION,Status,Process 1,Process 2,Process 3,Process 4,Process 5,Process 6
03/10/23,OCT WK-01,1,Sidewall White Dot,T2,NG,B2NPC4F3,B2NPC4-1F4,B2NPC6F3,B2NPC7F16,B2NPC8F2,B2NPC8-1F2
03/10/23,OCT WK-01,2,Sidewall White Dot,T2,NG,B2NPC4F4,B2NPC4-1F4,B2NPC6F14,B2NPC7F17,B2NPC8F2,B2NPC8-1M3
03/10/23,OCT WK-01,3,Sidewall White Dot,T2,NG,B2NPC4F3,B2NPC4-1F4,B2NPC6F9,B2NPC7F16,B2NPC8F2,B2NPC8-1F2
03/10/23,OCT WK-01,4,Sidewall White Dot,T2,NG,B2NPC4F3,B2NPC4-1F4,B2NPC6F8,B2NPC7F9,B2NPC8F5,B2NPC8-1F2
03/10/23,OCT WK-01,5,Sidewall White Dot,T3,NG,B2NPC4F3,B2NPC4-1F4,B2NPC6F13,B2NPC7F4,B2NPC8F4,B2NPC8-1F2
03/10/23,OCT WK-01,6,Sidewall White Dot,T2,NG,B2NPC4F3,B2NPC4-1F4,B2NPC6F7,B2NPC7F9,B2NPC8F5,B2NPC8-1F2
03/10/23,OCT WK-01,7,Sidewall White Dot,T2,NG,B2NPC4F3,B2NPC4-1F4,B2NPC6F13,B2NPC7F19,B2NPC8F4,B2NPC8-1M3
03/10/23,OCT WK-01,8,Sidewall White Dot,T2,NG,B2NPC4F4,B2NPC4-1F4,B2NPC6F14,B2NPC7F4,B2NPC8F3,B2NPC8-1F1
03/10/23,OCT WK-01,9,Sidewall White Dot,T2,NG,B2NPC4F3,B2NPC4-1F4,B2NPC6F4,B2NPC7F2,B2NPC8F3,B2NPC8-1M3
03/10/23,OCT WK-01,10,Sidewall White Dot,T3,NG,B2NPC4F1,B2NPC4-1F4,B2NPC6F19,B2NPC7F18,B2NPC8F1,B2NPC8-1M4
03/10/23,OCT WK-01,11,Sidewall White Dot,T1,NG,B2NPC4F4,B2NPC4-1F4,B2NPC6F2,B2NPC7F17,B2NPC8F2,B2NPC8-1F1
03/10/23,OCT WK-01,12,Sidewall White Dot,L1,NG,B2NPC4F4,B2NPC4-1F4,B2NPC6F12,B2NPC7F11,B2NPC8F4,B2NPC8-1F2
03/10/23,OCT WK-01,13,Sidewall White Dot,B2,NG,B2NPC4F4,B2NPC4-1F4,B2NPC6F6,B2NPC7F19,B2NPC8F3,B2NPC8-1F1
03/10/23,OCT WK-01,14,Sidewall White Dot,B2,NG,B2NPC4F3,B2NPC4-1F4,B2NPC6F5,B2NPC7F19,B2NPC8F3,B2NPC8-1F1
03/10/23,OCT WK-01,15,Sidewall White Dot,T1,NG,B2NPC4F4,B2NPC4-1F4,B2NPC6F12,B2NPC7F8,B2NPC8F4,B2NPC8-1M3
03/10/23,OCT WK-01,16,Sidewall White Dot,L1,NG,B2NPC4F4,B2NPC4-1F4,B2NPC6F1,B2NPC7F9,B2NPC8F4,B2NPC8-1F1
03/10/23,OCT WK-01,17,Sidewall White Dot,T1,NG,B2NPC4F3,B2NPC4-1F4,B2NPC6F17,B2NPC7F5,B2NPC8F2,B2NPC8-1M3
03/10/23,OCT WK-01,18,Sidewall White Dot,T1,NG,B2NPC4F3,B2NPC4-1F4,B2NPC6F13,B2NPC7F8,B2NPC8F4,B2NPC8-1M3
03/10/23,OCT WK-01,19,Sidewall White Dot,T1,NG,B2NPC4F3,B2NPC4-1F4,B2NPC6F12,B2NPC7F5,B2NPC8F5,B2NPC8-1M3
03/10/23,OCT WK-01,20,Sidewall White Dot,R1,NG,B2NPC4F4,B2NPC4-1F4,B2NPC6F4,B2NPC7F4,B2NPC8F2,B2NPC8-1F1
03/10/23,OCT WK-01,21,Sidewall White Dot,T1,NG,B2NPC4F3,B2NPC4-1F4,B2NPC6F10,B2NPC7F17,B2NPC8F2,B2NPC8-1F2
03/10/23,OCT WK-01,22,Sidewall White Dot,B2,NG,B2NPC4F3,B2NPC4-1F4,B2NPC6F5,B2NPC7F6,B2NPC8F4,B2NPC8-1F2
04/10/23,OCT WK-01,23,Sidewall White Dot,T2,NG,B2NPC4F3,B2NPC4-1F4,B2NPC6F14,B2NPC7F2,B2NPC8F2,B2NPC8-1F2
04/10/23,OCT WK-01,24,Sidewall White Dot,T2,NG,B2NPC4F3,B2NPC4-1F4,B2NPC6F6,B2NPC7F5,B2NPC8F4,B2NPC8-1M3
04/10/23,OCT WK-01,25,Sidewall White Dot,L1,NG,B2NPC4F3,B2NPC4-1F4,B2NPC6F7,B2NPC7F4,B2NPC8F4,B2NPC8-1F2
04/10/23,OCT WK-01,26,Sidewall White Dot,R1,NG,B2NPC4F4,B2NPC4-1F4,B2NPC6F10,B2NPC7F6,B2NPC8F5,B2NPC8-1F1
04/10/23,OCT WK-01,27,Sidewall White Dot,B2,NG,B2NPC4F4,B2NPC4-1F4,B2NPC6F4,B2NPC7F7,B2NPC8F4,B2NPC8-1F1
04/10/23,OCT WK-01,28,Sidewall White Dot,B2,NG,B2NPC4F4,B2NPC4-1F4,B2NPC6F2,B2NPC7F22,B2NPC8F3,B2NPC8-1M3
04/10/23,OCT WK-01,29,Sidewall White Dot,B2,NG,B2NPC4F3,B2NPC4-1F4,B2NPC6F9,B2NPC7F7,B2NPC8F5,B2NPC8-1F1
04/10/23,OCT WK-01,30,Sidewall White Dot,B3,NG,B2NPC4F3,B2NPC4-1F4,B2NPC6F15,B2NPC7F2,B2NPC8F2,B2NPC8-1F2
04/10/23,OCT WK-01,31,Sidewall White Dot,B3,NG,B2NPC4F4,B2NPC4-1F4,B2NPC6F2,B2NPC7F3,B2NPC8F2,B2NPC8-1F2
04/10/23,OCT WK-01,32,Sidewall White Dot,T2,NG,B2NPC4F3,B2NPC4-1F4,B2NPC6F16,B2NPC7F8,B2NPC8F4,B2NPC8-1F1
04/10/23,OCT WK-01,33,Sidewall White Dot,R1,NG,B2NPC4F4,B2NPC4-1F4,B2NPC6F6,B2NPC7F6,B2NPC8F5,B2NPC8-1M3
04/10/23,OCT WK-01,34,Sidewall White Dot,R1,NG,B2NPC4F4,B2NPC4-1F4,B2NPC6F8,B2NPC7F22,B2NPC8F2,B2NPC8-1F1
04/10/23,OCT WK-01,35,Sidewall White Dot,T3,NG,B2NPC4F4,B2NPC4-1F4,B2NPC6F5,B2NPC7F4,B2NPC8F4,B2NPC8-1F2
04/10/23,OCT WK-01,36,Sidewall White Dot,T2,NG,B2NPC4F4,B2NPC4-1F4,B2NPC6F4,B2NPC7F6,B2NPC8F4,B2NPC8-1F1
04/10/23,OCT WK-01,37,Sidewall White Dot,T1,NG,B2NPC4F3,B2NPC4-1F4,B2NPC6F2,B2NPC7F16,B2NPC8F3,B2NPC8-1F1
04/10/23,OCT WK-01,38,Sidewall White Dot,T2,NG,B2NPC4F4,B2NPC4-1F4,B2NPC6F8,B2NPC7F22,B2NPC8F4,B2NPC8-1M3
04/10/23,OCT WK-01,39,Sidewall White Dot,T1,NG,B2NPC4F3,B2NPC4-1F4,B2NPC6F15,B2NPC7F6,B2NPC8F5,B2NPC8-1M3
04/10/23,OCT WK-01,40,Sidewall White Dot,B2,NG,B2NPC4F3,B2NPC4-1F4,B2NPC6F14,B2NPC7F8,B2NPC8F4,B2NPC8-1F1
05/10/23,OCT WK-01,41,Sidewall White Dot,B3,NG,B2NPC4F4,B2NPC4-1F4,B2NPC6F10,B2NPC7F3,B2NPC8F2,B2NPC8-1F2
05/10/23,OCT WK-01,42,Sidewall White Dot,T3,NG,B2NPC4F3,B2NPC4-1F4,B2NPC6F3,B2NPC7F4,B2NPC8F5,B2NPC8-1F2
05/10/23,OCT WK-01,43,Sidewall White Dot,B2,NG,B2NPC4F4,B2NPC4-1F4,B2NPC6F16,B2NPC7F3,B2NPC8F2,B2NPC8-1F1
05/10/23,OCT WK-01,44,Sidewall White Dot,T3,NG,B2NPC4F4,B2NPC4-1F4,B2NPC6F4,B2NPC7F12,B2NPC8F5,B2NPC8-1F2
05/10/23,OCT WK-01,45,Sidewall White Dot,B2,NG,B2NPC4F3,B2NPC4-1F4,B2NPC6F3,B2NPC7F2,B2NPC8F2,B2NPC8-1M3
05/10/23,OCT WK-01,46,Sidewall White Dot,B1,NG,B2NPC4F4,B2NPC4-1F4,B2NPC6F17,B2NPC7F12,B2NPC8F5,B2NPC8-1F1
06/10/23,OCT WK-01,47,Sidewall White Dot,T3,NG,B2NPC4F4,B2NPC4-1F4,B2NPC6F13,B2NPC7F2,B2NPC8F2,B2NPC8-1M3
06/10/23,OCT WK-01,48,Sidewall White Dot,B2,NG,B2NPC4F4,B2NPC4-1F4,B2NPC6F3,B2NPC7F3,B2NPC8F4,B2NPC8-1F1
06/10/23,OCT WK-01,49,Sidewall White Dot,T2,NG,B2NPC4F2,B2NPC4-1F4,B2NPC6F15,B2NPC7F16,B2NPC8F3,B2NPC8-1F2
06/10/23,OCT WK-01,50,Sidewall White Dot,T2,NG,B2NPC4F2,B2NPC4-1F4,B2NPC6F8,B2NPC7F20,B2NPC8F5,B2NPC8-1F1
06/10/23,OCT WK-01,51,Sidewall White Dot,T2,NG,B2NPC4F3,B2NPC4-1F4,B2NPC6F9,B2NPC7F7,B2NPC8F2,B2NPC8-1F1
06/10/23,OCT WK-01,52,Sidewall White Dot,T2,NG,B2NPC4F3,B2NPC4-1F4,B2NPC6F17,B2NPC7F5,B2NPC8F5,B2NPC8-1F1
06/10/23,OCT WK-01,53,Sidewall White Dot,T2,NG,B2NPC4F4,B2NPC4-1F4,B2NPC6F9,B2NPC7F20,B2NPC8F3,B2NPC8-1M3
06/10/23,OCT WK-01,54,Sidewall White Dot,B2,NG,B2NPC4F3,B2NPC4-1F4,B2NPC6F18,B2NPC7F12,B2NPC8F3,B2NPC8-1F1
06/10/23,OCT WK-01,55,Sidewall White Dot,T3,NG,B2NPC4F3,B2NPC4-1F4,B2NPC6F2,B2NPC7F5,B2NPC8F2,B2NPC8-1M3
06/10/23,OCT WK-01,56,Sidewall White Dot,B1,NG,B2NPC4F3,B2NPC4-1F4,B2NPC6F13,B2NPC7F9,B2NPC8F2,B2NPC8-1F2
06/10/23,OCT WK-01,57,Sidewall White Dot,B1,NG,B2NPC4F3,B2NPC4-1F4,B2NPC6F18,B2NPC7F17,B2NPC8F2,B2NPC8-1F2
06/10/23,OCT WK-01,58,Sidewall White Dot,B1,NG,B2NPC4F3,B2NPC4-1F4,B2NPC6F13,B2NPC7F6,B2NPC8F2,B2NPC8-1F2
06/10/23,OCT WK-01,59,Sidewall White Dot,T2,NG,B2NPC4F4,B2NPC4-1F4,B2NPC6F5,B2NPC7F3,B2NPC8F2,B2NPC8-1F2
06/10/23,OCT WK-01,60,Sidewall White Dot,B2,NG,B2NPC4F4,B2NPC4-1F4,B2NPC6F10,B2NPC7F11,B2NPC8F5,B2NPC8-1M3
06/10/23,OCT WK-01,61,Sidewall White Dot,B2,NG,B2NPC4F4,B2NPC4-1F4,B2NPC6F17,B2NPC7F21,B2NPC8F4,B2NPC8-1F2
06/10/23,OCT WK-01,62,Sidewall White Dot,B2,NG,B2NPC4F3,B2NPC4-1F4,B2NPC6F8,B2NPC7F17,B2NPC8F2,B2NPC8-1F1
06/10/23,OCT WK-01,63,Sidewall White Dot,T2,NG,B2NPC4F4,B2NPC4-1F4,B2NPC6F17,B2NPC7F16,B2NPC8F2,B2NPC8-1F1
06/10/23,OCT WK-01,64,Sidewall White Dot,T2,NG,B2NPC4F2,B2NPC4-1F4,B2NPC6F7,B2NPC7F10,B2NPC8F2,B2NPC8-1M3
06/10/23,OCT WK-01,65,Sidewall White Dot,T3,NG,B2NPC4F2,B2NPC4-1F4,B2NPC6F14,B2NPC7F19,B2NPC8F3,B2NPC8-1M3
06/10/23,OCT WK-01,66,Sidewall White Dot,T1,NG,B2NPC4F4,B2NPC4-1F4,B2NPC6F4,B2NPC7F4,B2NPC8F5,B2NPC8-1F2
06/10/23,OCT WK-01,67,Sidewall White Dot,T2,NG,B2NPC4F3,B2NPC4-1F4,B2NPC6F1,B2NPC7F11,B2NPC8F5,B2NPC8-1F1
06/10/23,OCT WK-01,68,Sidewall White Dot,B2,NG,B2NPC4F2,B2NPC4-1F4,B2NPC6F13,B2NPC7F5,B2NPC8F4,B2NPC8-1F2
06/10/23,OCT WK-01,69,Sidewall White Dot,B1,NG,B2NPC4F3,B2NPC4-1F4,B2NPC6F5,B2NPC7F4,B2NPC8F4,B2NPC8-1M3
06/10/23,OCT WK-01,70,Sidewall White Dot,B1,NG,B2NPC4F2,B2NPC4-1F4,B2NPC6F2,B2NPC7F20,B2NPC8F2,B2NPC8-1F1
